analysis_id,analyzed_at,source_file,row_number,actual_label,actual_name,predicted_label,predicted_name,risk_score,confidence,risk_level,family,reasons,feature_duration,feature_protocol_type,feature_service,feature_flag,feature_src_bytes,feature_dst_bytes,feature_land,feature_wrong_fragment,feature_urgent,feature_hot,feature_num_failed_logins,feature_logged_in,feature_num_compromised,feature_root_shell,feature_su_attempted,feature_num_root,feature_num_file_creations,feature_num_shells,feature_num_access_files,feature_num_outbound_cmds,feature_is_host_login,feature_is_guest_login,feature_count,feature_srv_count,feature_serror_rate,feature_srv_serror_rate,feature_rerror_rate,feature_srv_rerror_rate,feature_same_srv_rate,feature_diff_srv_rate,feature_srv_diff_host_rate,feature_dst_host_count,feature_dst_host_srv_count,feature_dst_host_same_srv_rate,feature_dst_host_diff_srv_rate,feature_dst_host_same_src_port_rate,feature_dst_host_srv_diff_host_rate,feature_dst_host_serror_rate,feature_dst_host_srv_serror_rate,feature_dst_host_rerror_rate,feature_dst_host_srv_rerror_rate
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,1,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,2,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,3,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,4,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,5,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,6,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,7,0,normal,0,normal,0.0,1.0,low,probe_scan,high service or host diversity,0.0,2.0,57.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,10.0,3.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,8,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,253.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,9,1,attack,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,2.0,24.0,1.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
scan-20260506_081928,2026-05-06T02:49:28+00:00,kddtest.csv,10,0,normal,0,normal,0.0,1.0,low,normal,close to learned normal profile,0.0,1.0,1.0,1.0,223.0,185.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
